acId,entry_lat,entry_lon,entry_alt,entry_rectime,exit_lat,exit_lon,exit_alt,exit_rectime
AAL1339_KDFWtoKDTW,40.52306,-85.64,29900.0,2023-12-22 18:12:44,41.737257777814925,-84.17212215648293,16935.247071787613,2023-12-22 18:26:28
AAL1358_KCLTtoKDTW,39.48377856415442,-82.11487060432266,33000.0,2023-12-22 18:09:12,41.67325559197591,-82.944942940868,19135.938114592245,2023-12-22 18:29:29
AAL1436_KPHLtoKDTW,40.69483764131082,-80.76981537164139,30000.0,2023-12-22 14:50:17,41.749115084231576,-82.79697364686736,18920.699628564424,2023-12-22 15:07:23
AAL1456_KORDtoKDTW,43.23347835088876,-86.17061474174,25000.0,2023-12-22 16:56:31,42.687789249788565,-83.95891159967003,12300.30294067362,2023-12-22 17:13:16
AAL1728_KPHXtoKDTW,40.54183617077397,-85.84486435379898,33000.0,2023-12-22 15:13:16,41.737329994010146,-84.1736660079464,16940.00012435676,2023-12-22 15:28:14
AAL1734_KDFWtoKDTW,40.48917,-85.68139,29000.0,2023-12-22 14:19:32,41.737264467658484,-84.17226090906966,17142.816473270617,2023-12-22 14:34:26
AAL419_KCLTtoKDTW,39.6369957589119,-81.82224888730305,34000.0,2023-12-22 01:08:57,41.675002867789104,-82.97536651326702,11000.0,2023-12-22 01:30:25
ABX1488_KRFDtoKDTW,42.09997516767139,-86.34785041384998,29000.0,2023-12-22 05:00:48,42.08717820404132,-84.24145805195225,13443.294673286073,2023-12-22 05:12:44
AFR378_LFPGtoKDTW,43.080485356324296,-80.48185539415572,30114.73089865459,2023-12-22 17:58:33,42.49219002081915,-82.77020716120694,9109.747085963247,2023-12-22 18:16:47
DAL1040_KAUStoKDTW,40.5125,-85.74889,29000.0,2023-12-22 08:26:32,41.73732812348565,-84.17362752473893,17000.0,2023-12-22 08:40:54
DAL1066_KTPAtoKDTW,39.47195669419985,-82.13982072706742,34843.47016433779,2023-12-22 07:56:33,41.67314811882579,-82.94307696365256,19820.938696414836,2023-12-22 08:16:13
DAL1120_KMSNtoKDTW,43.267220235519794,-86.15853088074897,27000.0,2023-12-22 08:10:01,42.688675921391216,-83.95752704065337,12979.648828962076,2023-12-22 08:25:13
DAL1208_KORDtoKDTW,43.09239653435184,-86.22098350157782,23000.0,2023-12-22 11:58:55,42.688516223120274,-83.9577764423371,12987.765077586582,2023-12-22 12:13:41
DAL1225_KTVCtoKDTW,44.47611,-85.20944,12800.0,2023-12-22 06:08:13,42.91456900424636,-83.60268144450855,19947.47510615898,2023-12-22 06:24:42
DAL1240_KATLtoKDTW,39.408821847175155,-82.29519278464454,33000.0,2023-12-22 09:58:38,41.673118596525086,-82.94256476364883,19246.684949749582,2023-12-22 10:19:15
DAL1296_KDENtoKDTW,42.50731322223179,-86.33884182906013,35000.0,2023-12-22 04:41:13,42.29287729402588,-84.14565674476155,13737.491761035171,2023-12-22 04:54:13
DAL1312_KIAHtoKDTW,40.49639,-85.71833,29200.0,2023-12-22 14:24:21,41.737281538099545,-84.1726247564583,17054.53868214236,2023-12-22 14:38:54
DAL1321_KMCOtoKDTW,39.47186692549864,-82.14000999771017,31000.0,2023-12-22 07:46:12,41.673073038603455,-82.94176875075127,18205.602101163695,2023-12-22 08:06:46
DAL133_EHAMtoKDTW,42.96667,-80.795,26700.0,2023-12-22 12:36:15,42.48563572786084,-82.75623952146518,7097.157211550972,2023-12-22 12:51:49
DAL1340_KPHXtoKDTW,42.04399395455645,-86.34509887936117,29545.984066345718,2023-12-22 10:57:57,41.9675,-84.29689863645545,17000.0,2023-12-22 11:10:13
DAL135_EHAMtoKDTW,43.08023501885609,-80.48179275878633,30600.754166188017,2023-12-22 15:34:36,42.493841590295304,-82.77372784836679,8672.029935428129,2023-12-22 15:53:39
DAL137_EHAMtoKDTW,42.98361,-80.58861,29200.0,2023-12-22 17:23:16,42.49508063619412,-82.77636937034801,7076.8161304982,2023-12-22 17:41:45
DAL1411_KLGAtoKDTW,42.51440560226964,-80.36900629487762,33625.01653117114,2023-12-22 11:09:39,42.4168560256902,-82.61005514866164,9759.530453110716,2023-12-22 11:25:08
DAL1420_KPHXtoKDTW,42.044216032458486,-86.3451097215448,27409.124876052483,2023-12-22 22:03:40,41.96785962018086,-84.29673223822294,16956.672267366157,2023-12-22 22:16:45
DAL1433_KMCOtoKDTW,39.47200808832612,-82.1397123279792,31650.977276669342,2023-12-22 10:37:32,41.673250720285466,-82.94485888036294,17824.375815755113,2023-12-22 10:57:43
DAL1435_KDCAtoKDTW,40.67235037169452,-80.78329830255859,32208.840088590143,2023-12-22 06:56:45,41.74740443766483,-82.79890840136494,13657.485931642863,2023-12-22 07:14:24
DAL1445_KPHXtoKDTW,41.87180481222802,-86.33200477447754,35000.0,2023-12-22 04:56:53,42.09451015090392,-84.23805468107918,11100.0,2023-12-22 05:10:11
DAL1456_KMSPtoKDTW,43.233901700687525,-86.17046327956935,33000.0,2023-12-22 21:59:11,42.688514091952634,-83.9577795810935,11009.98722856437,2023-12-22 22:14:20
DAL1484_KSYRtoKDTW,42.7282196987536,-80.40069500358332,30052.975753445062,2023-12-22 06:37:22,42.481069654703234,-82.74651222381073,16897.80014739528,2023-12-22 06:53:19
DAL1502_KATLtoKDTW,39.32131356227871,-82.56420521611844,35000.0,2023-12-22 22:56:33,41.67328032914861,-82.9453725298065,19641.323835666142,2023-12-22 23:17:17
DAL1523_KATLtoKDTW,39.47196530123279,-82.13980259697075,33000.0,2023-12-22 13:31:54,41.673106734735924,-82.94235815635074,19679.37538545646,2023-12-22 13:51:26
DAL1608_KLGAtoKDTW,42.51425024569307,-80.36898337590124,31380.663688417008,2023-12-22 21:49:42,42.4155464121209,-82.60957087443006,10039.310224524848,2023-12-22 22:05:06
DAL1646_KATLtoKDTW,39.47205927101589,-82.13960435159959,33000.0,2023-12-22 08:29:54,41.673066892954736,-82.94166328014533,18423.99884599955,2023-12-22 08:50:21
