t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
27600,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
28200,41.918299999998666,-84.02169999999946,8000.0,41.673,-82.94049999999937,16984.082545699202,41.96619999999994,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999995,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999956,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
28800,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
29400,41.91829999999863,-84.02169999999948,8000.0,41.673,-82.94049999999933,16984.082545699202,41.96619999999989,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999993,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999956,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
30000,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
30600,41.91829999999851,-84.02169999999941,8000.0,41.673,-82.94049999999928,16984.082545699202,41.96619999999987,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999992,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999949,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
31200,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
31800,41.918299999998546,-84.02169999999936,8000.0,41.673,-82.94049999999928,16984.082545699202,41.966199999999844,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999989,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999949,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
32400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
33000,41.91829999999837,-84.02169999999933,8000.0,41.673,-82.94049999999928,16984.082545699202,41.96619999999975,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4164999999999,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999942,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
