ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
ENUDE,40.63144444444445,-82.46771111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40375320W082280376,SUSAEAENRT   ENUDE K50    W     N40375320W082280376                       W0077     NAR           ENUDE                    342452413,34250
EPATY,40.00957777777778,-83.1983,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCMH,N40003448W083115388,SUSAP KCMHK5CEPATY K50    C     N40003448W083115388                       W0071     NAR           EPATY                    526252304,152629
EPECI,41.15315277777778,-80.42064444444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,29D,N41091135W080251432,SUSAP 29D K6CEPECI K60    W     N41091135W080251432                       W0091     NAR           EPECI                    863172008,86322
EPEKE,41.94215833333333,-84.77534444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KOEB,N41563177W084463124,SUSAP KOEBK5CEPEKE K50    W     N41563177W084463124                       W0063     NAR           EPEKE                    717892605,271792
EPEYE,41.04708888888889,-83.56028611111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFDY,N41024952W083333703,SUSAP KFDYK5CEPEYE K50    W     N41024952W083333703                       W0070     NAR           EPEYE                    884882304,188492
EPIBY,40.61618888888889,-81.58390833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPHD,N40365828W081350207,SUSAP KPHDK5CEPIBY K50    W     N40365828W081350207                       W0083     NAR           EPIBY                    859582605,285961
EREME,39.788602777777776,-84.44538055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDAY,N39471897W084264337,SUSAP KDAYK5CEREME K50    W     N39471897W084264337                       W0062     NAR           EREME                    641072304,164111
ERRYS,42.86263888888889,-84.14845555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42514550W084085444,SUSAEAENRT   ERRYS K50    C     N42514550W084085444                       W0068     NAR           ERRYS                    343122504,34317
ERUCT,40.52036111111111,-85.6497138888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMZZ,N40311330W085385897,SUSAP KMZZK5CERUCT K50    W     N40311330W085385897                       W0055     NAR           ERUCT                    686622605,268665
ERXUT,42.93681944444444,-84.93906111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y70,N42561255W084562062,SUSAP Y70 K5CERXUT K50    W     N42561255W084562062                       W0063     NAR           ERXUT                    572022304,357204
ERZEH,41.960769444444445,-85.49479166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHAI,N41573877W085294125,SUSAP KHAIK5CERZEH K50    W     N41573877W085294125                       W0057     NAR           ERZEH                    077802601,207783
ESILE,41.70758055555556,-84.82242222222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KANQ,N41422729W084492072,SUSAP KANQK5CESILE K50    W     N41422729W084492072                       W0062     NAR           ESILE                    207322304,120736
ESOTE,41.88433055555556,-80.72853055555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41530359W080434271,SUSAEAENRT   ESOTE K50    W     N41530359W080434271                       W0090     NAR           ESOTE                    343402602,34345
ESPUQ,41.053711111111106,-81.42726111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAKR,N41031336W081253814,SUSAP KAKRK5CESPUQ K50    W     N41031336W081253814                       W0084     NAR           ESPUQ                    187102008,118714
ESSBE,42.058877777777774,-81.788275,ENROUTE_WAYPOINT,CAN,SCANE,E,A,ENRT,N42033196W081471779,SCANEAENRT   ESSBE CY0    W     N42033196W081471779                       W0083     NAR           ESSBE                    012202504,1225
ESSIE,40.55,-83.39633888888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40330000W083234682,SUSAEAENRT   ESSIE K50    C   L N40330000W083234682                       W0070     NAR           ESSIE                    343472102,34352
ESTRN,40.54151944444444,-81.83996111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,10G,N40322947W081502386,SUSAP 10G K5CESTRN K50    W     N40322947W081502386                       W0081     NAR           ESTRN                    818762201,81881
ETHNL,41.63760833333333,-86.31703055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSBN,N41381539W086190131,SUSAP KSBNK5CETHNL K50    W     N41381539W086190131                       W0051     NAR           ETHNL                    093732304,309375
ETMEW,40.34226944444445,-82.65611666666668,TERMINAL_WAYPOINT,USA,SUSAP,P,C,4I3,N40203217W082392202,SUSAP 4I3 K5CETMEW K50    W     N40203217W082392202                       W0075     NAR           ETMEW                    932232201,93228
ETOTY,41.24443055555555,-82.43436666666668,TERMINAL_WAYPOINT,USA,SUSAP,P,C,5A1,N41143995W082260372,SUSAP 5A1 K5CETOTY K50    W     N41143995W082260372                       W0078     NAR           ETOTY                    961412102,96146
ETTAF,40.235397222222225,-84.02595555555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSCA,N40140743W084013344,SUSAP KSCAK5CETTAF K50    W     N40140743W084013344                       W0066     NAR           ETTAF                    098852605,309887
ETUVE,41.527274999999996,-85.55960555555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KGSH,N41313819W085333458,SUSAP KGSHK5CETUVE K50    W     N41313819W085333458                       W0056     NAR           ETUVE                    044072506,204410
ETXUX,40.195899999999995,-84.19998333333334,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40114524W084115994,SUSAEAENRT   ETXUX K50    W     N40114524W084115994                       W0064     NAR           ETXUX(CNF)               344032201,34408
EUKER,41.51663611111111,-81.56180555555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCGF,N41305989W081334250,SUSAP KCGFK5CEUKER K50    W     N41305989W081334250                       W0084     NAR           EUKER                    474722603,147476
EVAJI,40.67706944444444,-83.57128888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,I95,N40403745W083341664,SUSAP I95 K5CEVAJI K50    W     N40403745W083341664                       W0069     NAR           EVAJI                    113062201,111310
EVAVY,41.04626111111111,-80.92745555555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,4G4,N41024654W080553884,SUSAP 4G4 K5CEVAVY K50    W     N41024654W080553884                       W0087     NAR           EVAVY                    931152504,93120
EVELE,39.99693888888889,-83.11853055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCMH,N39594898W083070671,SUSAP KCMHK5CEVELE K50    W     N39594898W083070671                       W0072     NAR           EVELE                    526262605,152630
EVEZA,40.514858333333336,-84.18058888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAXV,N40305349W084105012,SUSAP KAXVK5CEVEZA K50    W     N40305349W084105012                       W0065     NAR           EVEZA                    287222304,128726
EVNEW,43.01552222222222,-83.74435555555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFNT,N43005588W083443968,SUSAP KFNTK5CEVNEW K50    W     N43005588W083443968                       W0071     NAR           EVNEW                    924872504,192491
EVOCO,40.47243888888889,-84.67774722222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCQA,N40282078W084403989,SUSAP KCQAK5CEVOCO K50    W     N40282078W084403989                       W0061     NAR           EVOCO                    561012304,156105
EVOTE,41.951008333333334,-85.23016944444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41570363W085134861,SUSAEAENRT   EVOTE K50    C     N41570363W085134861                       W0059     NAR           EVOTE                    344362203,34441
EVOVE,40.861650000000004,-82.29472777777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40514194W082174102,SUSAEAENRT   EVOVE K50    W     N40514194W082174102                       W0078     NAR           EVOVE                    344372602,34442
EVOZU,40.495358333333336,-84.44496388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCQA,N40294329W084264187,SUSAP KCQAK5CEVOZU K50    W     N40294329W084264187                       W0063     NAR           EVOZU                    561022304,156106
EVRIW,41.93145555555555,-84.81218055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KJYM,N41555324W084484385,SUSAP KJYMK5CEVRIW K50    W     N41555324W084484385                       W0062     NAR           EVRIW                    323542102,232357
