ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
TOGBE,32.924819444444445,-85.11953888888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLGC,N32552935W085071034,SUSAP KLGCK7CTOGBE K70    W     N32552935W085071034                       W0050     NAR           TOGBE                    405622504,240565
TOJVU,34.45151111111112,-85.74288888888888,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34270544W085443440,SUSAEAENRT   TOJVU K70    W     N34270544W085443440                       W0048     NAR           TOJVU                    510092605,51014
TOJXE,34.66116111111111,-86.03039444444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34394018W086014942,SUSAEAENRT   TOJXE K70    W   H N34394018W086014942                       W0046     NAR           TOJXE                    510102605,51015
TOLEE,31.206844444444442,-84.86758055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,17J,N31122464W084520329,SUSAP 17J K7CTOLEE K70    W     N31122464W084520329                       W0050     NAR           TOLEE                    829682504,82973
TOMAE,35.73554722222222,-85.6997138888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35440797W085415897,SUSAEAENRT   TOMAE K70    W     N35440797W085415897                       W0049     NAR           TOMAE                    510252504,51030
TORRO,33.07866388888889,-82.01381666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,2J5,N33044319W082004974,SUSAP 2J5 K7CTORRO K70    W     N33044319W082004974                       W0071     NAR           TORRO                    871302605,87135
TOWHE,34.97840277777778,-84.34290555555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34584225W084203446,SUSAEAENRT   TOWHE K70    W     N34584225W084203446                       W0058     NAR           TOWHE                    511262605,51131
TOXOZ,34.00686666666667,-83.51210277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,52A,N34002472W083304357,SUSAP 52A K7CTOXOZ K70    R     N34002472W083304357                       W0062     NAR           TOXOZ                    950582605,95063
TOYOT,32.448705555555556,-83.97043333333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32265534W083581356,SUSAEAENRT   TOYOT K70    R   L N32265534W083581356                       W0057     NAR           TOYOT                    511342504,51139
TRALZ,34.991883333333334,-83.67544166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34593078W083403159,SUSAEAENRT   TRALZ K70    W     N34593078W083403159                       W0062     NAR           TRALZ                    511632605,51168
