ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
KP06G,46.0,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46000000W094000000,SUSAEAENRT   KP06G K30     V    N46000000W094000000                       E0004     NAR           KP06G                    418892403,41894
KP06I,46.0,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46000000W092000000,SUSAEAENRT   KP06I K50     V    N46000000W092000000                       W0012     NAR           KP06I                    418902403,41895
KP06K,46.0,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46000000W090000000,SUSAEAENRT   KP06K K50     V    N46000000W090000000                       W0028     NAR           KP06K                    418912304,41896
KP09E,46.5,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46300000W096000000,SUSAEAENRT   KP09E K30     W    N46300000W096000000                       E0019     NAR           KP09E                    418982605,41903
KP09G,46.5,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46300000W094000000,SUSAEAENRT   KP09G K30     W    N46300000W094000000                       E0003     NAR           KP09G                    418992605,41904
KP09I,46.5,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46300000W092000000,SUSAEAENRT   KP09I K50     W    N46300000W092000000                       W0013     NAR           KP09I                    419002605,41905
KP12G,47.0,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N47000000W094000000,SUSAEAENRT   KP12G K30     V    N47000000W094000000                       E0003     NAR           KP12G                    419082605,41913
KP12I,47.0,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N47000000W092000000,SUSAEAENRT   KP12I K30     V    N47000000W092000000                       W0013     NAR           KP12I                    419092403,41914
KP15G,47.5,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N47300000W094000000,SUSAEAENRT   KP15G K30     W    N47300000W094000000                       E0003     NAR           KP15G                    419162403,41921
KP75G,42.5,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42300000W094000000,SUSAEAENRT   KP75G K30     W    N42300000W094000000                       E0006     NAR           KP75G                    419482403,41953
KP78G,43.0,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43000000W094000000,SUSAEAENRT   KP78G K30     V    N43000000W094000000                       E0005     NAR           KP78G                    419512605,41956
KP78I,43.0,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43000000W092000000,SUSAEAENRT   KP78I K30     V    N43000000W092000000                       W0010     NAR           KP78I                    419522605,41957
KP81E,43.5,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43300000W096000000,SUSAEAENRT   KP81E K30     W    N43300000W096000000                       E0020     NAR           KP81E                    419552605,41960
KP81G,43.5,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43300000W094000000,SUSAEAENRT   KP81G K30     W    N43300000W094000000                       E0005     NAR           KP81G                    419562605,41961
KP81I,43.5,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43300000W092000000,SUSAEAENRT   KP81I K30     W    N43300000W092000000                       W0010     NAR           KP81I                    419572403,41962
KP84E,44.0,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44000000W096000000,SUSAEAENRT   KP84E K30     V    N44000000W096000000                       E0020     NAR           KP84E                    419602605,41965
KP84G,44.0,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44000000W094000000,SUSAEAENRT   KP84G K30     V    N44000000W094000000                       E0005     NAR           KP84G                    419612504,41966
KP84I,44.0,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44000000W092000000,SUSAEAENRT   KP84I K30     V    N44000000W092000000                       W0010     NAR           KP84I                    419622403,41967
KP87E,44.5,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44300000W096000000,SUSAEAENRT   KP87E K30     W    N44300000W096000000                       E0020     NAR           KP87E                    419672504,41972
KP87I,44.5,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44300000W092000000,SUSAEAENRT   KP87I K50     W    N44300000W092000000                       W0011     NAR           KP87I                    419692605,41974
KP87K,44.5,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44300000W090000000,SUSAEAENRT   KP87K K50     W    N44300000W090000000                       W0026     NAR           KP87K                    419702304,41975
KP90E,45.0,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45000000W096000000,SUSAEAENRT   KP90E K30     V    N45000000W096000000                       E0020     NAR           KP90E                    419762504,41981
KP90K,45.0,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45000000W090000000,SUSAEAENRT   KP90K K50     V    N45000000W090000000                       W0027     NAR           KP90K                    419792403,41984
KRECH,42.94981388888888,-91.7844638888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,3Y2,N42565933W091470407,SUSAP 3Y2 K3CKRECH K30    W     N42565933W091470407                       W0011     NAR           KRECH                    913272403,91332
KRINK,46.470425,-94.15998055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBRD,N46281353W094093593,SUSAP KBRDK3CKRINK K30    W     N46281353W094093593                       E0005     NAR           KRINK                    399612403,139965
