ident,lat,lon,waypoint_classes,area_codes,record_count
ACOCO,43.79261111,-91.23850833,ENROUTE_WAYPOINT,USA,1
ACOCU,40.11369167,-76.28171111,ENROUTE_WAYPOINT,USA,1
ACODI,36.74163056,-108.21707778,ENROUTE_WAYPOINT,USA,1
ACOKO,36.34421389,-97.08875,TERMINAL_WAYPOINT,USA,1
ACOLA,29.45988333,-95.50511667,ENROUTE_WAYPOINT,USA,1
ACOLU,43.22916667,-88.83080556,ENROUTE_WAYPOINT,USA,1
ACOMA,34.88770556,-107.42182222,ENROUTE_WAYPOINT,USA,1
ACONI,43.48062778,-123.33078611,ENROUTE_WAYPOINT,USA,1
ACONU,28.73868056,-96.26881389,ENROUTE_WAYPOINT,USA,1
ACONY,18.92736667,-66.47744722,ENROUTE_WAYPOINT,USA,1
ACOPA,42.30964444,-71.39742778,ENROUTE_WAYPOINT,USA,1
ACORE,38.52106389,-90.05825278,TERMINAL_WAYPOINT,USA,1
ACORI,31.77315556,-85.85819722,ENROUTE_WAYPOINT,USA,1
ACORO,34.57589722,-79.46986111,TERMINAL_WAYPOINT,USA,1
ACOSA,38.60835278,-79.05489167,TERMINAL_WAYPOINT,USA,1
ACOSI,37.11870833,-111.53460833,ENROUTE_WAYPOINT,USA,1
ACOSU,43.62344167,-94.30971389,ENROUTE_WAYPOINT,USA,1
ACOTI,40.64494722,-86.051875,TERMINAL_WAYPOINT,USA,1
ACOTO,35.83573056,-76.74563333,TERMINAL_WAYPOINT,USA,1
ACOTY,44.40430833,-123.30795833,TERMINAL_WAYPOINT,USA,1
ACOVE,42.23478333,-74.03183056,ENROUTE_WAYPOINT,USA,1
ACOVO,33.34078889,-88.84583889,ENROUTE_WAYPOINT,USA,1
ACOVY,39.86151667,-119.99206111,ENROUTE_WAYPOINT,USA,1
ACOYU,37.04466944,-76.47611111,ENROUTE_WAYPOINT,USA,1
ACPAJ,34.03866667,-85.14121944,TERMINAL_WAYPOINT,USA,1
ACRAF,39.03510556,-77.71228611,ENROUTE_WAYPOINT,USA,1
ACRAM,26.51165556,-82.175325,ENROUTE_WAYPOINT,USA,1
ACRAN,61.07238333,-156.49089167,ENROUTE_WAYPOINT,CAN,1
ACRAT,34.2172,-118.97853056,ENROUTE_WAYPOINT,USA,1
ACRDI,35.19490556,-97.58876389,ENROUTE_WAYPOINT,USA,1
ACRES,32.44168056,-105.78728056,ENROUTE_WAYPOINT,USA,1
ACRON,13.62375278,143.03114167,ENROUTE_WAYPOINT,PAC,1
ACROR,30.6746,-94.97965556,ENROUTE_WAYPOINT,USA,1
ACROT,36.27985833,-79.44225833,ENROUTE_WAYPOINT,USA,1
ACROW,38.064425,-77.17471667,ENROUTE_WAYPOINT,USA,1
ACRUZ,24.0,-84.57818889,ENROUTE_WAYPOINT,USA,1
ACTED,32.55722222,-99.02139444,TERMINAL_WAYPOINT,USA,1
ACTIP,39.23383056,-94.73513611,TERMINAL_WAYPOINT,USA,1
ACTON,46.042725,-67.78101389,ENROUTE_WAYPOINT,USA,1
ACTOR,39.75575833,-104.52311111,ENROUTE_WAYPOINT,USA,1
ACTUP,38.70336389,-75.18619444,ENROUTE_WAYPOINT,USA,1
ACUBO,37.83561667,-97.35395833,TERMINAL_WAYPOINT,USA,1
ACUDI,34.66524722,-98.06376944,TERMINAL_WAYPOINT,USA,1
ACUDU,66.87099444,-162.38640556,TERMINAL_WAYPOINT,CAN,1
ACUFF,32.18150556,-96.61084167,ENROUTE_WAYPOINT,USA,1
ACUGI,34.27810278,-97.95702222,TERMINAL_WAYPOINT,USA,1
ACUGO,44.13311389,-70.40526389,ENROUTE_WAYPOINT,USA,1
ACUHA,44.30906944,-68.71430556,ENROUTE_WAYPOINT,USA,1
ACUNO,36.85637778,-76.23674167,TERMINAL_WAYPOINT,USA,1
ACUSA,40.00734444,-77.59329722,TERMINAL_WAYPOINT,USA,1
ACUSE,38.1232,-97.50298333,TERMINAL_WAYPOINT,USA,1
ACUTE,35.60975,-79.06494722,ENROUTE_WAYPOINT,USA,1
ACUTI,38.52511111,-122.81787778,TERMINAL_WAYPOINT,USA,1
ACUVI,33.91000833,-84.49016944,ENROUTE_WAYPOINT,USA,1
ACUXA,27.70653889,-97.30788889,ENROUTE_WAYPOINT,USA,1
ACUYU,13.592225,144.95507222,ENROUTE_WAYPOINT,PAC,1
ACUZI,41.20068611,-85.47207778,TERMINAL_WAYPOINT,USA,1
ACVEK,30.58303056,-97.685275,TERMINAL_WAYPOINT,USA,1
ACVIK,27.67759444,-97.28911389,ENROUTE_WAYPOINT,USA,1
ACVOL,44.61310833,-123.27231944,TERMINAL_WAYPOINT,USA,1
ACWEW,46.19365278,-119.01600833,TERMINAL_WAYPOINT,USA,1
ACWUR,47.35016667,-101.160925,TERMINAL_WAYPOINT,USA,1
ACXIY,39.85811389,-88.04555,ENROUTE_WAYPOINT,USA,1
ACYLS,31.06424444,-83.19443056,ENROUTE_WAYPOINT,USA,1
ACYOG,44.54688889,-69.21524444,TERMINAL_WAYPOINT,USA,1
ACZES,38.32635556,-104.88937778,ENROUTE_WAYPOINT,USA,1
ACZUP,32.12811389,-88.79276667,TERMINAL_WAYPOINT,USA,1
ADAAM,27.98703333,-80.81460278,TERMINAL_WAYPOINT,USA,1
ADABE,9.596925,138.24730833,ENROUTE_WAYPOINT,USA,1
ADABN,37.82120833,-87.539725,TERMINAL_WAYPOINT,USA,1
ADABY,35.47599444,-108.87261389,ENROUTE_WAYPOINT,USA,1
ADACO,39.02754722,-76.77359167,TERMINAL_WAYPOINT,USA,1
ADADE,64.37908611,-162.26719722,TERMINAL_WAYPOINT,CAN,1
ADAFE,39.65289722,-123.34658611,ENROUTE_WAYPOINT,USA,1
ADAGE,34.98845278,-117.79300833,ENROUTE_WAYPOINT,USA,1
ADALE,42.85301111,-86.01099167,ENROUTE_WAYPOINT,USA,1
ADAME,41.96913889,-87.65236111,TERMINAL_WAYPOINT,USA,1
ADAMM,34.01704722,-117.81681667,ENROUTE_WAYPOINT,USA,1
ADAMZ,43.94228333,-89.98176667,ENROUTE_WAYPOINT,USA,1
ADANE,38.91590556,-104.39901667,ENROUTE_WAYPOINT,USA,1
ADANN,37.71876667,-100.72485556,TERMINAL_WAYPOINT,USA,1
ADAPE,30.56014167,-90.463025,TERMINAL_WAYPOINT,USA,1
ADAPT,31.22985,-83.19288056,ENROUTE_WAYPOINT,USA,1
ADARE,41.826975,-89.551,ENROUTE_WAYPOINT,USA,1
ADAVE,33.80728056,-81.05809167,ENROUTE_WAYPOINT,USA,1
ADAXE,38.900725,-77.06811667,ENROUTE_WAYPOINT,USA,1
ADAXY,32.377425,-97.55451944,TERMINAL_WAYPOINT,USA,1
ADAYA,42.55067778,-122.86127778,TERMINAL_WAYPOINT,USA,1
ADAYI,13.57247222,144.97084444,TERMINAL_WAYPOINT,PAC,1
ADBAW,39.59656944,-123.43288889,TERMINAL_WAYPOINT,USA,1
ADBON,0.0,154.22833333,ENROUTE_WAYPOINT,PAC,1
ADCAP,48.64915833,-95.79133056,TERMINAL_WAYPOINT,USA,1
ADCIN,47.16350556,-93.48915556,ENROUTE_WAYPOINT,USA,1
ADCOJ,42.13114167,-92.26448056,TERMINAL_WAYPOINT,USA,1
ADCOK,39.22120556,-76.69487778,TERMINAL_WAYPOINT,USA,1
ADCOM,33.73270278,-80.92070278,ENROUTE_WAYPOINT,USA,1
ADDAM,38.12376944,-75.92105278,ENROUTE_WAYPOINT,USA,1
ADDAR,58.34650556,-134.51575278,ENROUTE_WAYPOINT,CAN,1
ADDAX,29.98111667,-83.99830833,ENROUTE_WAYPOINT,USA,1
ADDAY,42.26143889,-124.45281944,TERMINAL_WAYPOINT,USA,1
ADDDA,42.605625,-70.78207222,TERMINAL_WAYPOINT,USA,1
ADDDY,41.88941944,-86.27506111,TERMINAL_WAYPOINT,USA,1
ADDED,30.34487778,-97.88331944,ENROUTE_WAYPOINT,USA,1
ADDEK,38.67268611,-77.40747778,ENROUTE_WAYPOINT,USA,1
ADDEY,40.86734722,-98.31475556,TERMINAL_WAYPOINT,USA,1
ADDIE,35.91055556,-93.41055556,ENROUTE_WAYPOINT,USA,1
ADDIL,28.40191667,-99.68268333,TERMINAL_WAYPOINT,USA,1
ADDIV,39.37692778,-94.73388056,TERMINAL_WAYPOINT,USA,1
ADDMM,37.77102778,-121.70858611,TERMINAL_WAYPOINT,USA,1
ADDMO,34.23301111,-96.93228889,TERMINAL_WAYPOINT,USA,1
ADDPO,7.88611111,132.09027778,ENROUTE_WAYPOINT,PAC,1
ADDUG,35.91456667,-114.78011944,TERMINAL_WAYPOINT,USA,1
ADDUM,45.53162778,-122.45875278,TERMINAL_WAYPOINT,USA,1
ADDVL,33.37175833,-96.36123056,ENROUTE_WAYPOINT,USA,1
ADDYY,29.666025,-98.45041389,TERMINAL_WAYPOINT,USA,1
ADECE,60.74540556,-151.79308056,ENROUTE_WAYPOINT,CAN,1
ADECI,40.87173056,-86.05655833,TERMINAL_WAYPOINT,USA,1
ADECY,17.93833333,-66.53079722,TERMINAL_WAYPOINT,LAM,1
ADEDE,13.44139167,144.70200278,TERMINAL_WAYPOINT,PAC,1
ADEDY,43.05140556,-99.29481944,ENROUTE_WAYPOINT,USA,1
ADEEL,35.97636944,-78.75887222,ENROUTE_WAYPOINT,USA,1
ADEEM,34.42667778,-119.89362222,TERMINAL_WAYPOINT,USA,1
ADEER,37.97099444,-101.07361111,ENROUTE_WAYPOINT,USA,1
ADEGE,35.36861389,-79.02810556,ENROUTE_WAYPOINT,USA,1
ADEIN,36.24974722,-82.78303056,TERMINAL_WAYPOINT,USA,1
ADEKE,39.05530833,-96.76193611,TERMINAL_WAYPOINT,USA,1
ADELA,38.71491389,-97.23614722,TERMINAL_WAYPOINT,USA,1
ADELE,43.18075278,-87.85471111,TERMINAL_WAYPOINT,USA,1
ADELL,41.24972222,-88.25,ENROUTE_WAYPOINT,USA,1
ADELY,40.86667222,-91.37033611,TERMINAL_WAYPOINT,USA,1
ADEME,43.61178056,-93.22495833,ENROUTE_WAYPOINT,USA,1
ADEMR,32.86231944,-65.16488056,ENROUTE_WAYPOINT,USA,1
ADEMS,32.45375,-96.74895833,TERMINAL_WAYPOINT,USA,1
ADENE,42.72812222,-90.46820556,ENROUTE_WAYPOINT,USA,1
ADENO,45.03064444,-85.220425,ENROUTE_WAYPOINT,USA,1
ADEOS,36.88021667,-102.15200556,ENROUTE_WAYPOINT,USA,1
ADEPT,34.70694444,-80.15583333,ENROUTE_WAYPOINT,USA,1
ADERR,30.26851389,-81.43235,TERMINAL_WAYPOINT,USA,1
ADERY,32.94799722,-80.123275,TERMINAL_WAYPOINT,USA,1
ADESE,44.444125,-103.43276667,TERMINAL_WAYPOINT,USA,1
ADETE,34.90186944,-85.325475,ENROUTE_WAYPOINT,USA,1
ADEVE,41.16045556,-83.49860278,ENROUTE_WAYPOINT,USA,1
ADEWU,40.21953611,-103.324075,TERMINAL_WAYPOINT,USA,1
ADEXE,43.50466389,-116.44825556,ENROUTE_WAYPOINT,USA,1
ADEYO,42.9614,-89.4321,ENROUTE_WAYPOINT,USA,1
ADEYU,35.97111389,-85.82564722,ENROUTE_WAYPOINT,USA,1
ADFIN,44.33718611,-73.31977222,ENROUTE_WAYPOINT,USA,1
ADGAY,25.86915556,-80.21499444,TERMINAL_WAYPOINT,USA,1
ADGEW,43.20925833,-93.44074167,TERMINAL_WAYPOINT,USA,1
ADHER,41.78869444,-70.46523333,TERMINAL_WAYPOINT,USA,1
ADIAN,35.57580833,-84.51195,ENROUTE_WAYPOINT,USA,1
