ac_Type,acft_Class,Wing area,CD0,e,typical engine,Max thrust
A306_GE,Twin Engine. Widebody Aircraft,,0.017,0.85,GE CF6-80C2,262
B762_GE,Twin Engine. Widebody Aircraft,,0.017,0.85,GE CF6-80C2B7F,276.2
B762_PW,Twin Engine. Widebody Aircraft,,0.017,0.85,PW PW4062,281.6
B722,Twin Engine. Commuter Aircraft,,0.021,0.85,PW JT8D-9,64.4
C310,Twin Engine. Commuter Aircraft,,0.021,0.85,CONTINENTAL IO-520-M,1.62
CL35,Twin Engine. Commuter Aircraft,,0.021,0.85,HONEYWELL HTF7350,33
B77W,Twin Engine. Widebody Aircraft,,0.017,0.85,GE GE90-115B,513
C750,Twin Engine. Commuter Aircraft,,0.021,0.85,RR AE3007C2,31.29
GL5T,Twin Engine. Commuter Aircraft,,0.021,0.85,RR BR700-710D5-21,67.28
H25B,Twin Engine. Commuter Aircraft,,0.021,0.85,HONEYWELL TFE 731-3-RH,16.6
CL60,Twin Engine. Commuter Aircraft,,0.021,0.85,GE CF34-3B,41
MD88,Twin Engine. Commuter Aircraft,,0.021,0.85,PW JT8D-219,93
B748,Multi Engine. Widebody Aircraft,,0.019,0.84,GE Genx-2B67,296
LJ35,Twin Engine. Commuter Aircraft,,0.021,0.85,HONEYWELL TFE 731-2-2B,16
E190,Twin Engine. Commuter Aircraft,,0.021,0.85,GE CF34-10E,89
GLF4,Twin Engine. Commuter Aircraft,,0.021,0.85,RR TAY  611-8C,61.6
B744_RR,Multi Engine. Widebody Aircraft,,0.019,0.84,RR RB211-524H,258
B744_PW,Multi Engine. Widebody Aircraft,,0.019,0.84,PW PW4056,252.4
B744_GE,Multi Engine. Widebody Aircraft,,0.019,0.84,GE CF6-80C2B4,257.5
B789_RR,Twin Engine. Widebody Aircraft,,0.017,0.85,RR TRENT 1000-K2,347.54
