region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon
1490,6,41.030000,41.045000,-85.940000,-85.935000,41.037500,-85.936667
1492,63,41.010000,41.045000,-85.355000,-85.255000,41.029762,-85.312540
1493,5,41.040000,41.045000,-85.150000,-85.140000,41.042000,-85.144000
1499,5,41.015000,41.025000,-85.985000,-85.975000,41.021000,-85.981000
1501,6,41.015000,41.025000,-85.935000,-85.925000,41.020833,-85.930000
1503,6,41.010000,41.020000,-85.370000,-85.360000,41.014167,-85.364167
1508,17,40.990000,41.010000,-85.345000,-85.320000,41.000882,-85.331176
1512,11,40.990000,41.005000,-85.405000,-85.380000,40.997727,-85.390455
1517,5,40.990000,41.000000,-85.890000,-85.885000,40.996000,-85.888000
1538,5,40.945000,40.955000,-85.425000,-85.415000,40.950000,-85.420000
1566,8,40.820000,40.830000,-85.195000,-85.175000,40.825000,-85.185625
1581,41,40.690000,40.735000,-85.780000,-85.735000,40.717195,-85.752805
1588,20,40.665000,40.690000,-85.785000,-85.765000,40.679250,-85.774250
1591,8,40.645000,40.650000,-85.605000,-85.585000,40.646875,-85.595625
1594,9,40.630000,40.635000,-85.615000,-85.595000,40.632222,-85.605000
1605,4712,39.990000,40.580000,-85.840000,-85.355000,40.306146,-85.587843
1615,19,40.540000,40.560000,-85.645000,-85.605000,40.546842,-85.622368
1619,60,40.510000,40.555000,-85.465000,-85.410000,40.526250,-85.432083
1620,7,40.540000,40.550000,-85.460000,-85.440000,40.545000,-85.448571
1622,5,40.530000,40.540000,-85.405000,-85.400000,40.534000,-85.403000
1631,8,40.505000,40.510000,-85.495000,-85.480000,40.507500,-85.487500
1643,12,40.450000,40.465000,-85.485000,-85.455000,40.458333,-85.468750
1646,5,40.445000,40.455000,-85.425000,-85.415000,40.451000,-85.420000
1651,21,40.420000,40.440000,-85.225000,-85.190000,40.430476,-85.208095
1652,5,40.410000,40.420000,-85.300000,-85.290000,40.417000,-85.295000
1653,5,40.410000,40.420000,-85.185000,-85.175000,40.416000,-85.179000
1655,78,40.360000,40.415000,-85.320000,-85.255000,40.388718,-85.285577
1661,7,40.390000,40.400000,-85.445000,-85.430000,40.393571,-85.437143
1662,7,40.390000,40.400000,-85.210000,-85.200000,40.395714,-85.203571
1670,184,40.330000,40.390000,-85.430000,-85.310000,40.363614,-85.373505
1678,23,40.360000,40.380000,-85.465000,-85.430000,40.369783,-85.450000
1685,6,40.355000,40.360000,-85.555000,-85.545000,40.357500,-85.550000
1700,6,40.310000,40.320000,-85.190000,-85.180000,40.315833,-85.185000
1708,82,40.255000,40.310000,-85.140000,-85.075000,40.282378,-85.109939
1713,5,40.290000,40.295000,-85.190000,-85.175000,40.294000,-85.183000
1719,10,40.255000,40.275000,-85.370000,-85.350000,40.264000,-85.358500
1721,15,40.250000,40.265000,-85.800000,-85.760000,40.259000,-85.779000
1729,105,40.190000,40.245000,-85.290000,-85.205000,40.218190,-85.247810
1747,6,40.180000,40.190000,-85.220000,-85.205000,40.185833,-85.213333
1750,7,40.175000,40.185000,-85.185000,-85.175000,40.179286,-85.181429
1766,6,40.140000,40.150000,-85.140000,-85.130000,40.145833,-85.136667
1775,6,40.120000,40.125000,-85.610000,-85.595000,40.121667,-85.602500
