region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon,t_minutes,shift_meters
1143,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1154,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1159,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1170,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1174,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1191,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1192,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1201,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1214,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1225,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1258,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1273,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1278,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1280,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1284,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1286,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1299,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1300,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1308,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1313,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1315,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1320,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1328,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1330,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1345,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1353,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1355,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1363,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1379,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1381,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1386,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1391,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1402,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1409,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1421,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1427,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1434,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1439,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1456,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1473,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1482,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1489,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1490,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1492,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1493,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1499,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1501,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
