t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
177600,41.96620000000362,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79719999999986,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999976,8000.0,42.686900000000875,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.9404999999998,23000.0,41.91829999999838,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.4165000000005,-82.60929999999996,8000.0,41.91830000000065,-84.0217,8000.0,41.91830000000062,-84.02170000000012,8000.0,41.673,-82.94050000000038,15678.523878325837
178200,41.9662,-84.29749999999898,11000.0,42.41650000000101,-82.60929999999966,8000.0,41.7483000000005,-82.7972,21000.0,41.672999999999746,-82.9405,14843.470164334689,42.41650000000062,-82.60929999999996,8000.0,42.6869,-83.96029999999975,11000.0,41.91830000000033,-84.0217,8000.0,41.673000000000734,-82.9405,23000.0,41.91830000000134,-84.02169999999965,8000.0,41.91829999999696,-84.02169999999943,8000.0,41.96620000000045,-84.29749999999987,11000.0,42.4165,-82.60929999999982,8000.0,41.9183,-84.02169999999983,8000.0,41.91829999999946,-84.0217,8000.0,41.67299999999895,-82.9405,15678.523878325837
178800,41.96620000000351,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79720000000013,21000.0,41.67300000000038,-82.9405,14843.470164334689,42.4165,-82.60929999999979,8000.0,42.68690000000074,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.9404999999998,23000.0,41.9183,-84.0217,8000.0,41.918300000002596,-84.0217,8000.0,41.96620000000041,-84.2975,11000.0,42.41650000000034,-82.60929999999996,8000.0,41.91830000000076,-84.0217,8000.0,41.9183,-84.02170000000011,8000.0,41.673,-82.94050000000043,15678.523878325837
179400,41.9662,-84.29749999999905,11000.0,42.41649999999889,-82.60929999999972,8000.0,41.74830000000037,-82.7972,21000.0,41.673,-82.94049999999987,14843.470164334689,42.416500000000546,-82.60929999999996,8000.0,42.6869,-83.96029999999979,11000.0,41.918300000000436,-84.0217,8000.0,41.67300000000065,-82.9405,23000.0,41.91829999999861,-84.02169999999968,8000.0,41.9183,-84.02169999999958,8000.0,41.9662,-84.29749999999986,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.918299999999604,-84.0217,8000.0,41.67299999999878,-82.9405,15678.523878325837
180000,41.96620000000337,-84.2975,11000.0,42.41650000000081,-82.60929999999996,8000.0,41.7483,-82.79720000000012,21000.0,41.67299999999949,-82.9405,14843.470164334689,42.4165,-82.6092999999998,8000.0,42.68690000000056,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.94049999999983,23000.0,41.9183000000011,-84.0217,8000.0,41.91829999999739,-84.0217,8000.0,41.96619999999943,-84.2975,11000.0,42.41649999999967,-82.60929999999996,8000.0,41.91830000000087,-84.02170000000022,8000.0,41.9183,-84.0217,8000.0,41.673,-82.94050000000041,15678.523878325837
180600,41.9662,-84.29749999999909,11000.0,42.4165,-82.60929999999972,8000.0,41.74830000000033,-82.7972,21000.0,41.673000000000506,-82.94049999999984,14843.470164334689,42.4165000000004,-82.60929999999996,8000.0,42.6869,-83.96029999999985,11000.0,41.918300000000556,-84.02170000000014,8000.0,41.67300000000054,-82.9405,23000.0,41.9183,-84.0216999999997,8000.0,41.91830000000229,-84.0216999999996,8000.0,41.96620000000054,-84.29749999999986,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.02169999999975,8000.0,41.91830000000023,-84.0217,8000.0,41.67299999999872,-82.9405,15678.523878325837
181200,41.96620000000317,-84.2975,11000.0,42.416499999999075,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999985,8000.0,42.68689999999946,-83.9603,11000.0,41.9183,-84.02169999999984,8000.0,41.673,-82.94049999999987,23000.0,41.91830000000099,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.41650000000034,-82.60929999999996,8000.0,41.91830000000092,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.673,-82.94050000000036,15678.523878325837
181800,41.9662,-84.29749999999916,11000.0,42.416500000000624,-82.60929999999978,8000.0,41.748300000000455,-82.7972,21000.0,41.672999999999305,-82.94049999999983,14843.470164334689,42.41650000000028,-82.60929999999996,8000.0,42.6869,-83.96029999999986,11000.0,41.91830000000043,-84.0217,8000.0,41.6730000000004,-82.9405,23000.0,41.9183,-84.02169999999974,8000.0,41.91829999999776,-84.02169999999961,8000.0,41.966199999999375,-84.29749999999983,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.02169999999974,8000.0,41.91829999999955,-84.0217,8000.0,41.67299999999874,-82.9405,15678.523878325837
182400,41.966200000002964,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79719999999989,21000.0,41.673000000000776,-82.9405,14843.470164334689,42.4165,-82.60929999999996,8000.0,42.68690000000058,-83.9603,11000.0,41.9183,-84.02169999999987,8000.0,41.673,-82.9404999999999,23000.0,41.918300000000855,-84.0217,8000.0,41.91830000000193,-84.0217,8000.0,41.966200000000605,-84.2975,11000.0,42.416500000000454,-82.60929999999996,8000.0,41.918300000001075,-84.0217,8000.0,41.9183,-84.02170000000014,8000.0,41.673,-82.9405000000003,15678.523878325837
183000,41.9662,-84.29750000000084,11000.0,42.41650000000057,-82.60929999999982,8000.0,41.7483000000005,-82.7972,21000.0,41.673,-82.9404999999998,14843.470164334689,42.416499999999715,-82.60929999999996,8000.0,42.6869,-83.96029999999983,11000.0,41.918300000000315,-84.0217,8000.0,41.67299999999949,-82.9405,23000.0,41.9183,-84.02169999999975,8000.0,41.9183,-84.02169999999965,8000.0,41.9662,-84.29749999999986,11000.0,42.4165,-82.60929999999983,8000.0,41.9183,-84.02169999999971,8000.0,41.918299999999434,-84.0217,8000.0,41.672999999998865,-82.9405,15678.523878325837
183600,41.96620000000282,-84.29749999999925,11000.0,42.416500000000596,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.67299999999918,-82.9405,14843.470164334689,42.4165,-82.60929999999996,8000.0,42.68690000000068,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.672999999999675,-82.9405,23000.0,41.91830000000077,-84.0217,8000.0,41.9183000000018,-84.0217,8000.0,41.96619999999929,-84.2975,11000.0,42.41650000000054,-82.60929999999996,8000.0,41.91830000000102,-84.0217,8000.0,41.9183,-84.02170000000017,8000.0,41.673,-82.94050000000027,15678.523878325837
184200,41.9662,-84.2975,11000.0,42.4165,-82.60929999999979,8000.0,41.74830000000038,-82.7972,21000.0,41.67300000000091,-82.94049999999977,14843.470164334689,42.41650000000028,-82.60929999999996,8000.0,42.6869,-83.96029999999982,11000.0,41.9183000000002,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.0216999999998,8000.0,41.9183,-84.02169999999967,8000.0,41.96620000000042,-84.2974999999999,11000.0,42.4165,-82.6092999999998,8000.0,41.9183,-84.02169999999971,8000.0,41.91829999999935,-84.0217,8000.0,41.67299999999898,-82.9405,15678.523878325837
184800,41.96620000000259,-84.29749999999929,11000.0,42.4164999999994,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999996,8000.0,42.68690000000077,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.67300000000034,-82.9405,23000.0,41.91830000000066,-84.0217,8000.0,41.91830000000168,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.416500000000596,-82.60929999999996,8000.0,41.91830000000095,-84.0217,8000.0,41.9183,-84.02170000000018,8000.0,41.673,-82.94050000000026,15678.523878325837
185400,41.9662,-84.2975,11000.0,42.4165,-82.60929999999982,8000.0,41.748300000000235,-82.7972,21000.0,41.673000000001025,-82.94049999999974,14843.470164334689,42.416500000000376,-82.60929999999996,8000.0,42.6869,-83.96029999999979,11000.0,41.9182999999998,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.02169999999981,8000.0,41.9183,-84.0216999999997,8000.0,41.9662000000003,-84.2975,11000.0,42.4165,-82.60929999999979,8000.0,41.9183,-84.02169999999973,8000.0,41.918299999999235,-84.0217,8000.0,41.67299999999909,-82.9405,15678.523878325837
186000,41.96620000000236,-84.29749999999935,11000.0,42.41650000000055,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999986,8000.0,42.68690000000089,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673000000000464,-82.94049999999989,23000.0,41.918300000000514,-84.0217,8000.0,41.91830000000146,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.41650000000049,-82.60929999999996,8000.0,41.918300000000826,-84.0217,8000.0,41.9183,-84.02170000000021,8000.0,41.673,-82.94050000000021,15678.523878325837
186600,41.9662,-84.2975,11000.0,42.4165,-82.60929999999983,8000.0,41.74830000000037,-82.7972,21000.0,41.67300000000114,-82.94049999999973,14843.470164334689,42.41650000000049,-82.60929999999996,8000.0,42.6869,-83.96029999999976,11000.0,41.9183000000002,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.02169999999984,8000.0,41.9183,-84.02169999999971,8000.0,41.96620000000042,-84.29749999999989,11000.0,42.4165,-82.60929999999982,8000.0,41.9183,-84.02169999999977,8000.0,41.918299999999235,-84.0217,8000.0,41.672999999999234,-82.9405,15678.523878325837
187200,41.966200000002075,-84.2974999999994,11000.0,42.41650000000048,-82.60929999999996,8000.0,41.7483,-82.79719999999989,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999982,8000.0,42.68690000000089,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673000000000485,-82.94049999999986,23000.0,41.918300000000315,-84.0217,8000.0,41.91830000000131,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.41650000000031,-82.60929999999996,8000.0,41.918300000000656,-84.0217,8000.0,41.9183,-84.02170000000021,8000.0,41.673,-82.94050000000018,15678.523878325837
187800,41.9662,-84.2975,11000.0,42.4165,-82.6093000000001,8000.0,41.74830000000028,-82.7972,21000.0,41.673000000000904,-82.94049999999969,14843.470164334689,42.41650000000046,-82.60929999999996,8000.0,42.6869,-83.9602999999998,11000.0,41.91830000000022,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.02169999999988,8000.0,41.9183,-84.02169999999971,8000.0,41.966200000000306,-84.2974999999999,11000.0,42.4165,-82.60929999999985,8000.0,41.9183,-84.0216999999998,8000.0,41.918299999999476,-84.0217,8000.0,41.67299999999956,-82.9405,15678.523878325837
188400,41.96620000000164,-84.29749999999946,11000.0,42.4165000000003,-82.60929999999996,8000.0,41.7483,-82.79719999999989,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999979,8000.0,42.68690000000066,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673000000000506,-82.94049999999983,23000.0,41.91829999999979,-84.0217,8000.0,41.91830000000099,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.416500000000184,-82.60929999999996,8000.0,41.91830000000045,-84.0217,8000.0,41.9183,-84.0217000000002,8000.0,41.673,-82.94050000000016,15678.523878325837
189000,41.9662,-84.2975,11000.0,42.4165,-82.60929999999983,8000.0,41.74830000000016,-82.7972,21000.0,41.673000000001004,-82.94049999999964,14843.470164334689,42.41650000000047,-82.60929999999996,8000.0,42.6869,-83.96029999999985,11000.0,41.91830000000028,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.02169999999971,8000.0,41.966200000000185,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.02169999999984,8000.0,41.91829999999949,-84.0217,8000.0,41.67299999999965,-82.9405,15678.523878325837
189600,41.966200000001365,-84.29749999999952,11000.0,42.41649999999973,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999976,8000.0,42.686900000000485,-83.9603,11000.0,41.9183,-84.02169999999987,8000.0,41.673000000000485,-82.9404999999998,23000.0,41.91830000000026,-84.0217,8000.0,41.91830000000079,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.41649999999986,-82.60929999999996,8000.0,41.9183000000003,-84.0217,8000.0,41.9183,-84.0217000000002,8000.0,41.673,-82.94050000000013,15678.523878325837
190200,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748299999999844,-82.7972,21000.0,41.67300000000107,-82.94049999999966,14843.470164334689,42.41650000000059,-82.60929999999996,8000.0,42.6869,-83.96029999999988,11000.0,41.91830000000032,-84.0217,8000.0,41.673,-82.9405,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.02169999999975,8000.0,41.96619999999983,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.02169999999987,8000.0,41.91829999999952,-84.0217,8000.0,41.67299999999973,-82.9405,15678.523878325837
190800,41.96620000000133,-84.29749999999963,11000.0,42.4165000000003,-82.60929999999996,8000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.6092999999998,8000.0,42.68690000000039,-83.9603,11000.0,41.9183,-84.02169999999988,8000.0,41.67300000000045,-82.94049999999987,23000.0,41.91830000000032,-84.0217,8000.0,41.918300000000706,-84.0217,8000.0,41.9662,-84.2975,11000.0,42.416500000000156,-82.60929999999996,8000.0,41.918300000000194,-84.0217,8000.0,41.9183,-84.02170000000012,8000.0,41.673,-82.9405,15678.523878325837
