t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft
112800,41.673,-82.9405,18615.59306899031,42.416499999979514,-82.60929999999996,8000.0,41.966199999975416,-84.29750000000001,11000.0,42.41649999997954,-82.60929999999996,8000.0,41.673,-82.94049999999693,14000.0
113400,41.67300000001899,-82.94049999999667,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
114000,41.673,-82.9405,18615.59306899031,42.41649999997974,-82.60929999999996,8000.0,41.96619999997462,-84.29750000000001,11000.0,42.416499999979386,-82.60929999999996,8000.0,41.673,-82.94049999999713,14000.0
114600,41.6730000000182,-82.94049999999676,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
115200,41.673,-82.9405,18615.59306899031,42.41649999997974,-82.60929999999996,8000.0,41.96619999997503,-84.29750000000001,11000.0,42.4164999999793,-82.60929999999996,8000.0,41.673,-82.9404999999969,14000.0
115800,41.673000000018334,-82.94049999999655,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
116400,41.673,-82.9405,18615.59306899031,42.4164999999801,-82.60929999999996,8000.0,41.96619999997519,-84.29750000000001,11000.0,42.4164999999796,-82.60929999999996,8000.0,41.673,-82.94049999999693,14000.0
117000,41.67300000001818,-82.94049999999662,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
117600,41.673,-82.9405,18615.59306899031,42.416499999979756,-82.60929999999996,8000.0,41.96619999997562,-84.29750000000001,11000.0,42.416499999979614,-82.60929999999996,8000.0,41.673,-82.94049999999676,14000.0
118200,41.67300000001851,-82.94049999999662,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
118800,41.673,-82.9405,18615.59306899031,42.41649999997984,-82.60929999999996,8000.0,41.96619999997552,-84.29750000000001,11000.0,42.41649999998021,-82.60929999999996,8000.0,41.673,-82.94049999999676,14000.0
119400,41.673000000014476,-82.9404999999966,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
120000,41.673,-82.9405,18615.59306899031,42.416499999980225,-82.60929999999996,8000.0,41.966199999976105,-84.29750000000001,11000.0,42.41649999998017,-82.60929999999996,8000.0,41.673,-82.94049999999676,14000.0
120600,41.67300000001465,-82.94049999999662,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
121200,41.673,-82.9405,18615.59306899031,42.41649999998497,-82.60929999999996,8000.0,41.96619999998147,-84.29750000000001,11000.0,42.41649999998497,-82.60929999999996,8000.0,41.673,-82.94049999999679,14000.0
121800,41.67300000001401,-82.94049999999665,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
